wrong_name,right_name,
A. x salignus willd,Aster novi-belgii x lanceolatus = A. x salignus,
Acer pseudoplatanus (s.),Acer pseudoplatanus (s),
Acer sapling,Acer sp.,
Agrimony sp.,Agrimonia sp.,
Agrostis canina/stolonifera,Agrostis canina,
Algae(group not known) mat,Unidentified,
Algal mats,Unidentified,
Alnus glutinosa (c) (g),Alnus glutinosa (c),
Alnus glutinosa (seedling),Alnus glutinosa (g),
Anagallis palustris,Anagallis tenella,
Arrhenatherum pratense,Avenula pratensis,
Asplenium ruta-murania,Asplenium ruta-muraria,
Asplenium ruta-muriana,Asplenium ruta-muraria,
Asplenium scolopendrium,Phyllitis scolopendrium,
Asplenium trichomanes ssp. quadrivalens,Asplenium trichomanes subsp. quadrivalens,
Asplenium trichomanes ssp.quad,Asplenium trichomanes subsp. quadrivalens,
Asplenium virde,Asplenium viride,
Aster novi-belgii subsp. novi-belgii,Aster novi-belgii,
Aulacomium androgynum,Aulacomnium androgynum,
Aulacommium palustre,Aulacomnium palustre,
Aulacomnium paslustre,Aulacomnium palustre,
Aulacomniun palustre,Aulacomnium palustre,
Avenula pratense,Helictotrichon pratense,
Betula pendula x pubescens (b. x aurata) (c),Betula pendula x pubescens = B. x aurata,
Boletus? sp.,Boletus sp.,fungus
Brachypodium pinnatum s.l.,Brachypodium pinnatum agg.,
Brachythecium cf. mildeanum,Brachythecium mildeanum,
Bromus ferronii,Bromus hordeaceus subsp. ferronii,
Bromus hordaceus,Bromus hordeaceus,
Bromus hordeaceus subsp hordeaceus,Bromus hordeaceus subsp. hordeaceus,
Bromus hordeaceus subsp. ferronnii,Bromus hordeaceus subsp. ferronii,
Bromus hordeaceus subsp. Hordeaceus,Bromus hordeaceus subsp. hordeaceus,
Bryophytes sp.,Unidentified,
Anacamptis morio,Orchis morio,
Calliergon giganticum,Calliergon giganteum,
Calliergonella cuspidata,Calliergon cuspidatum,
Calluna vulgaris (dead),,
Calypogeia muellerana,Calypogeia muelleriana,
Calypogeia muelleriana (a),Calypogeia muelleriana,
Campyliadelphus elodes,Campylium elodes,
Campylium stellatum s.l.,Campylium stellatum,
Carex canescens,Carex curta,
Carex cf disticha,Carex disticha,
Carex cf lepidocarpa,Carex lepidocarpa,
Carex lepidocarpa / viridula agg.,Carex lepidocarpa,
Carex leporina,Carex ovalis,
Carex vescaria,Carex vesicaria,
Carex viridula ssp. Oedocarpa,Carex viridula subsp. oedocarpa,
Carex x fulva,Carex hostiana x viridula = C. x fulva,
Century sp.,Centaurium sp.,
Cephalozia cuspidata,Cephalozia bicuspidata,
Cerastium vulgare,Cerastium fontanum subsp. vulgare,
Cetraria aculeata,Coelocaulon aculeata,
Cirsim vulgare,Cirsium vulgare,
Cirsium carlinus,Carlina vulgaris,
Cirsium repens,Cirsium arvense,
Cistacea sp.,Cistus sp.,
Cladonia cervicornis subsp verticillata,Cladonia cervicornis var verticillata,
Cladonia cervicornis subsp. verticillata,Cladonia cervicornis var verticillata,
Cladonia chlorophaea agg.,Cladonia chlorophaea agg,
Cladonia ciliata,Cladonia ciliata ciliata,
Cladonia ciliata s.l.,Cladonia ciliata ciliata,
Cladonia ciliata var. ciliata,Cladonia ciliata ciliata,
Cladonia cornucrea,Cladonia coniocraea,
Cladonia crustacea,Cladonia crustacea,
Cladonia cryptochlorophaea,Cladonia cryptochlorophaea,
Cladonia furcata ssp rangiformis,Cladonia furcata,
Cladonia furcata subsp. furcata,Cladonia furcata,
Cladonia grayi,Cladonia grayi,
Cladonia grayi s.l. cf. cryptochlorophaea,Cladonia chlorophaea agg,
Cladonia squamosa var. squamosa,Cladonia squamosa,
Conocephalum conicum s.l.,Conocephalum conicum,
Cornus sanguinea (s.),Cornus sanguinea (s),
Cortinarius obtusus,Cortinarius obtusus,a fungus
Crataegus mongyna (g),Crataegus monogyna (g),
Crataegus monogyna (s.),Crataegus monogyna (s),
Crataegus sp. (g),Crataegus seedling,
Crocosmia pottsii x aurea = c. x crocosmiiflora,Crocosmia pottsii x aurea = C. x crocosmiiflora,
Dactylorhiza majalis subsp. praetermissa,Dactylorhiza majalis,
Dactylorhiza protomisa,Dactylorhiza praetermissa,
Dead betula sp.,,
Dead calluna,,
Dead pinus,,
Deschampsia cespitosa subsp. Cespitosa,Deschampsia cespitosa subsp. cespitosa,
Dichodontium palustre,Dichodontium sp.,
Dicranum bonjeanii,Dicranum bonjeani,
Dioscorea communis,Tamus communis,
Ditrichum flexicaule s.l.,Ditrichum flexicaule,
Ditrichum gracile,Ditrichum gracile,
Drepanocladus cossonii,Scorpidium cossonii,
Dryopteris-felix mas,Dryopteris filix-mas,
Dryopteris dilitata,Dryopteris dilatata,
Dryopteris diltata (dead),,
Empetrum nigrum subsp. nigrum subsp. nigrum,Empetrum nigrum subsp. nigrum,
Epilobium angustifolium,Chamerion angustifolium,
Epilobium sp. seedlings,Epilobium seedling,
Epilobium tetragonum subsp. tetragonum,Epilobium tetragonum tetragonum,
Erica tetralix (dead),,
Erophila verna s.l.,Erophila verna,
Eurpobia sp.,Euphorbia sp.,
Fescue sp.,Festuca sp.,
Festuca tenuifolia,Festuca filiformis,
Fissidens dubius,Fissidens cristatus,
Flavoparmelia caperata,Flavoparmelia caperata,lichen
Fraxinus excelsior (c) (g) (s),Fraxinus excelsior,
Fraxinus excelsior (s.),Fraxinus excelsior (s),
Fraxinus exelsior,Fraxinus excelsior,
Fuligo septica,Fuligo septica,a slime mold
Fungus sp.,Unidentified,
Galeopsis tetrahit ss.,Galeopsis tetrahit,
Geranium collumbinum,Geranium columbinum,
Geranium sanguinium,Geranium sanguineum,
Grimmia lisae,Grimmia sp.,
Gymnadenia borealis,Gymnadenia borealis,
Gymnopus andraceus,Gymnopus androsaceus,Fungus
Gymnopus dryophilus,Gymnopus dryophilus,Fungus
Hawthorn sapling,Crataegus sp.,
Hedera helix subsp hibernica,Hedera hibernica,
Helosciadium nodiflorum,Apium nodiflorum,
Herniaria ciliata,Herniaria ciliolata,
Hieraceum agg.,Hieracium aggregatum,
Hieracum agg,Hieracium aggregatum,
Homalothecium albicans,Unidentified,
Hygrocybe cantharellus,Hygrocybe cantharellus,Fungus
Hylocomnium splendens,Hylocomium splendens,
Hypnum cupressiforme var. cupressiforme,Hypnum cupressiforme var cupressiforme,
Hypnum cupressiforme var. lacunosum,Hypnum cupressiforme var lacunosum,
Hypnum lacunosum,Hypnum cupressiforme var lacunosum,
Hypnum lacunosum var. lacunosum,Hypnum cupressiforme var lacunosum,
Hypnum lancunosum,Hypnum cupressiforme var lacunosum,
Hypotrachyna revoluta,Hypotrachyna revoluta,lichen
Isothecium alopecuroides,Isothecium myurum,
Juncus bufonius ss.,Juncus bufonius,
Kindbergia praelonga,Kindbergia praelonga,moss
Kindbergia sp.,Kindbergia sp.,moss
Koelaria macrantha,Koeleria macrantha,
Krantia arvensis,Knautia arvensis,
Lamiastrum galeobdolon ssp. montanum,Lamiastrum galeobdolon subsp. montanum,
Lamium galeobdolon subsp. montanum,Lamiastrum galeobdolon subsp. montanum,
Larix (g),Larix sp.(g),
Lathyrus maritimus,Lathyrus japonicus subsp. maritimus,
Leptodictyum riparium,Amblystegium riparium,
Lichenes sp.,Unidentified,
Lichens sp.,Unidentified,
Ligustrum vulgare (s.),Ligustrum vulgare (s),
Lolium hybrid,Festuca pratensis x Lolium perenne = X Festulolium loliaceum,
Lonicera periclymenum (g) (s),Lonicera periclymenum,
Lophocolea bidentata (cuspidata),Lophocolea bidentata,
Lophozia ventricosa?,Lophozia cf. ventricosa,
Luzula campestris (cf),Luzula campestris,
Luzula multiflora ssp. congesta,Luzula multiflora subsp. congesta,
Luzula multiflora/ campestre,Luzula campestris/multiflora,
Lycopus europeaus,Lycopus europaeus,
Magnoliopsida seedling,Unidentified,
Malus sylvestris (seedling),Malus sylvestris,
Marasmius curreyi,Marasmius curreyi,Fungus
Marasmius rotula,Marasmius rotula,Fungus
Marasmius sp.,Marasmius sp.,Fungus
Marchantiophyta sp.,Marchantiophyta sp.,a liverwort
Melanelia subaurifera,Melanelia subaurifera,lichen
Micarea lignaria,Micrarea lignaria,
Micarea viridileprosa,Micarea viridileprosa,lichen
Mycena sp.,Mycena sp.,Fungus
Myrtaceae? sp.,Unidentified,
Neottia ovata,Listera ovata,
No higher plants or bryophytes present,,
Oenothera erythrosepala,Oenothera glazioviana,
Oxyrrhynchium hians,Eurhynchium swartzii,
Oxyrrhynchium speciosum,Eurhynchium speciosum,
Palustriella commutata s.l.,Cratoneuron commutatum,
Palustriella falcata,Cratoneuron commutatum falcatum,
Pellea sp.,Pellia sp.,
Peltigera hymenina,Peltigera hymenina,lichen
Phleum pratense ss.,Phleum pratense,
Phyteuma tenerum,Phyteuma orbiculare,
Picea (c),Picea sp. (c),
Pilocela sp.,Pilosella sp.,
Pilosella officinarum (hieracium),Pilosella officinarum,
Pilosella officinarum agg.,Pilosella officinarum agg,
Plagiothecium denticulatum var. denticulatum,Plagiothecium denticulatum,
Poa annua var. reptans,Poa annua,
Poa pratensis s.str.,Poa pratensis,
Poa pratensis ss.,Poa pratensis,
Poa triviolis,Poa trivialis,
Polgala serpyllifolia,Polygala serpyllifolia,
Polygala serpilifolia,Polygala serpyllifolia,
Polygonum maculosa,Persicaria maculosa,
Polytrichastrum alpinum,Polytrichum alpinum,
Polytrichastrum formosum,Polytrichum formosum,
Polytrichastrum longisetum,Polytrichum longisetum,
Polytrichastrum sp.,Polytrichum sp.,
Polytrichum commune var. perigoniale,Polytrichum commune,
Polytrichum strictum,Polytrichum alpestre,
Potamogeton cf. polygonifolinus (or coloratus?),Potamogeton sp.,
Poterium sanguisorba,Sanguisorba minor,
Pseudosclerepodium purum,Pseudoscleropodium purum,
Pseudotaxiphyllum elegans,Isopterygium elegans,
Pteridium aqualinum,Pteridium aquilinum,
Pteridium aquilinium,Pteridium aquilinum,
Quercus x rosacea (g),Quercus petraea x robur = Q. x rosacea,
Racomitrium heterostichum s.l.,Racomitrium heterostichum,
Racomitrium sudeticum,Racomitrium heterostichum,
Ranunculus flammula ssp. flammula,Ranunculus flammula subsp. flammula,
Rhamnus cathartica (g),Rhamnus cathartica,
Rhamnus cathartica (s),Rhamnus cathartica,
Rosa canina s.str. (g),Rosa canina (g),
Rubus fruiticosus agg.,Rubus fruticosus agg.,
Rubus fruticosus,Rubus fruticosus agg.,
Rubus fruticosus agg. (g),Rubus fruticosus agg.,
Sagina procumbans,Sagina procumbens,
Salix caprea x cinerea = s. x reichardtii,Salix caprea x cinerea = S. x reichardtii,
Salix cinerea (c) (g) (s),Salix cinerea,
Salix cinerea ssp. cinerea (c),Salix cinerea subsp. cinerea,
Salix cinerea subsp. oleifolia (c),Salix cinerea ssp oleifolia(c),
Salix cinerea subsp. oleifolia (s),Salix cinerea ssp oleifolia (s),
Salix cineria,Salix cinerea,
Salix x multinervis,Salix cinerea x aurita = S. x multinervis,
Salixseedling sp.,Salix seedling,
Sarcoscypha coccinea,Sarcoscypha coccinea,fungus
Scapania nemorea,Scapania nemorosa,
Schedonorous arundinaceus,Festuca arundinacea,
Schedonorus arundinaceus,Festuca arundinacea,
Schedonorus giganteus,Festuca gigantea,
Schedonorus pratensis,Festuca pratensis,
Schistidium crassipilum,Schistidium crassipilum,moss
Scleropodium purum,Pseudoscleropodium purum,
Scorpidium cossonii,Drepanocladus revolvens var. intermedius,
Scorpidium revolvens s.l.,Drepanocladus revolvens var. intermedius,
Scorzoneroides autumnalis,Leontodon autumnalis,
Scutula epicladonia,Scutula epicladonia,lichen
Silene flos-cuculi,Lychnis flos-cuculi,
Sorbus aria (g),Sorbus aria,
Sphagnum angustifolium,Sphagnum recurvum,
Sphagnum capillifolium ssp rubellum,Sphagnum capillifolium,
Sphagnum capillifolium subsp. rubellum,Sphagnum capillifolium,
Sphagnum denticulatum,Sphagnum auriculatum,
Sphagnum denticulatum s.l.,Sphagnum auriculatum,
Sphagnum fallax,Sphagnum fallax,moss
Sphagnum inundatum,Sphagnum auriculatum var inundatum,
Sphagnum pulustre,Sphagnum palustre,
Sphagnum recurvum s. l.,Sphagnum recurvum,
Sphagnum recurvum s.l.,Sphagnum recurvum,
Sphagnum rubellum,Sphagnum capillifolium,
Sphagnum spp.,Sphagnum sp.,
Stachys palustris/ambigua,Stachys palustris x sylvatica,
Stellaria uliginosa,Stellaria alsine,
Straminergon stramineum,Calliergon stramineum,
Sympotrichum x versicolor,Aster laevis x novi-belgii = A. x versicolor,
Syntrichia ruraliformis,Tortula ruralis ssp ruraliformis,
Syntrichia ruralis,Tortula ruralis ssp ruralis,
Syntrichia ruralis ssp. ruraliformis,Tortula ruralis ssp ruraliformis,
Syntrichia ruralis subsp. ruraliformis,Tortula ruralis ssp ruraliformis,
Syntrichia ruralis subsp. ruralis,Tortula ruralis ssp ruralis,
Syntrichia sp.,Tortula sp.,
Taraxacum agg,Taraxacum officinale agg.,
Taraxacum agg.,Taraxacum officinale agg.,
Taraxacum erythrospermum,Taraxacum sect. erythrosperma,
Taraxacum officinale,Taraxacum officinale agg.,
Taraxacum officinale agg,Taraxacum officinale agg.,
Taraxacum officinalis,Taraxacum officinale agg.,
Taraxacum sect. Ruderalia,Taraxacum sp.,
Taraxicum agg,Taraxacum officinale agg.,
Taraxicum officinale,Taraxacum officinale agg.,
Taraxicum officinale agg,Taraxacum officinale agg.,
Taraxicum sp.,Taraxacum sp.,
Taxus baccata (s.),Taxus baccata (s),
Thalictrum minus ssp. minus,Thalictrum minus,
Thuidium tanariinum,Thuidium tamariscinum,
Thymus praecox,Thymus polytrichus,
Tortella ruraliformis,Tortula ruralis ssp ruraliformis,
Tortula ruralis,Tortula ruralis ssp ruralis,
Trichophorum germanicum,Trichophorum cespitosum subsp. germanicum,
Trichophorum germinatum,Trichophorum cespitosum subsp. germanicum,
Trichophorum x foersteri,Trichophorum cespitosum subsp. germanicum,
Trifolium campestra,Trifolium campestre,
Trifolium ornithopodoides,Trifolium ornithopodioides,
Ulex minonr,Ulex minor,
Ulex species (g),Ulex sp.,
Ulota bruchii,Ulota crispa var norvegica,
Umbellifer seedling (u),Unidentified,
Umbellifer sp.,Unidentified,
Unidenitifed sp.,Unidentified,
Urtica galeopsifolia,Urtica dioica subsp. galeopsifolia,
V. x intersita beck,Viola riviniana x canina = V. x intersita,
Vaccinium myrtilis,Vaccinium myrtillus,
Vaccinium myrtillus (dead),,
Veronica chamaedryas,Veronica chamaedrys,
Veronica serpyllifolia sl.,Veronica serpyllifolia,
Viola reichenbachiana or viola riviniana,Viola sp.,
Viola sepium,Unidentified,
Warnstorfia exannulata,Drepanocladus exannulatus,
Alchemilla millefolium,Achillea millefolium,
Chamaenerion angustifolium,Chamerion angustifolium,
Urtica dioica subsp. Galeopsifolia,Urtica dioica subsp. galeopsifolia,