,days of data,days of nonNA rain,% nonNA,mod high rain days,col high rain days,DTWd_rain,DTWd by day_rain,DTWd_norm_rain,DTWdday NormRain,mod dry spell,col dry spell,days of nonNA temp,% nonNA_rain,DTWd_temp,DTWd by day_temp,DTWd_normTemp,DTWdday NormTemp,0.8*top temp,mod hot days,col hot days,mod frozen days,col frozen days
ainsdale,3409,577,16.92578469,39,38,1035.03,1.793812825,81,0.1403812825,6,6,1984,58.1988853,1689.646,0.8516360887,53.65659,0.02704465222,25.192,14,16,97,119
ainsdale rep,5323,5297,99.51155364,270,189,9236.36,1.743696432,158.7003,0.02996041155,57,74,5325,100.0375728,8391.8,1.575924883,239.7657,0.04502642254,28,6,24,332,650
bure marshes,3716,3130,84.23035522,101,113,3957.54,1.264389776,76.69651,0.02450367732,51,43,3127,84.14962325,3663.475,1.1715622,106.8692,0.03417627119,27.424,50,20,301,390
burnham beeches,4414,3994,90.48482102,182,135,5278.17,1.321524787,131.9542,0.03303810716,61,53,4002,90.66606253,11704.01,2.92454023,276.038,0.06897501249,33.92,2,169,458,333
burnham rep,5325,5297,99.4741784,231,189,8323.58,1.571376251,143.0168,0.02699958467,78,74,5325,100,9331.46,1.752386854,258.8477,0.04860989671,28.84,71,12,639,650
cross fell,1701,1099,64.6090535,205,125,4879.94,4.440345769,37.5669,0.03418280255,3,5,1272,74.77954145,3008.87,2.365463836,103.3976,0.08128742138,23.28,1,7,519,247
cross fell rep,5325,5297,99.4741784,998,189,19518.43,3.684808382,170.3476,0.03215925996,26,74,5325,100,16560.16,3.109889202,473.1474,0.08885397183,28,0,24,2050,650
ingleborough,5224,3167,60.62404288,683,760,15169.67,4.789917903,119.2584,0.03765658352,20,18,3168,60.6431853,3470.004,1.095329545,125.5428,0.03962840909,22.112,42,40,570,357
lizard,1952,1054,53.99590164,70,57,1741.235,1.652025617,42.67733,0.04049082543,17,20,1412,72.33606557,1124.7,0.796529745,42.50567,0.03010316572,21.168,54,32,18,22
lizard cosmos,1747,1685,96.45105896,140,128,2993.04,1.776284866,57.44798,0.03409375668,21,20,1685,96.45105896,1400.72,0.8312878338,51.68708,0.03067482493,21.68,40,40,32,31